,Depth (m),Number of Prod Wells,Number of Inj Wells,Maximum Reservoir Temperature (deg.C),Wellfield Cost ($M),Surface Plant Cost ($M),Exploration Cost ($M),Field Gathering System Cost ($M),Wellfield O&M Cost ($M/year),Surface Plant O&M Cost ($M/year),Make-Up Water O&M Cost ($M/year),Average Reservoir Heat Extraction (MWth),Average Total Electricity Generation (MWe),Lifetime
469,4.7,3,6,400.0,121.45,91.75,11.22,4.35,1.81,3.02,0.11,49.57,49.57,35
787,4.7,4,4,400.0,107.96,113.77,11.22,3.86,1.71,3.49,0.15,66.09,66.09,35
640,4.7,4,5,400.0,121.45,113.77,11.22,4.35,1.85,3.49,0.15,66.09,66.09,35
413,4.7,4,6,400.0,134.95,113.77,11.22,4.83,1.99,3.49,0.15,66.09,66.09,35
569,4.7,5,5,400.0,134.95,139.33,11.22,4.83,2.03,3.99,0.18,82.61,82.61,35
816,4.7,5,6,400.0,148.44,139.33,11.22,5.31,2.17,3.99,0.18,82.61,82.61,35
647,4.7,6,6,400.0,161.94,164.95,11.22,5.8,2.34,4.46,0.22,99.13,99.13,35
700,4.8,1,1,400.0,27.82,41.3,11.53,0.97,0.66,1.75,0.04,17.33,17.33,35
470,4.8,1,2,400.0,41.73,41.3,11.53,1.45,0.81,1.75,0.04,17.33,17.33,35
540,4.8,1,3,400.0,55.64,41.3,11.53,1.93,0.95,1.75,0.04,17.33,17.33,35
608,4.8,1,4,400.0,69.55,41.3,11.53,2.42,1.1,1.75,0.04,17.33,17.33,35
397,4.8,1,5,400.0,83.46,41.3,11.53,2.9,1.24,1.75,0.04,17.33,17.33,35
633,4.8,1,6,400.0,97.37,41.3,11.53,3.38,1.38,1.75,0.04,17.33,17.33,35
497,4.8,2,2,400.0,55.64,69.69,11.53,1.93,1.06,2.51,0.07,34.65,34.65,35
479,4.8,2,3,400.0,69.55,69.69,11.53,2.42,1.21,2.51,0.07,34.65,34.65,35
419,4.8,2,4,400.0,83.46,69.69,11.53,2.9,1.35,2.51,0.07,34.65,34.65,35
558,4.8,2,5,400.0,97.37,69.69,11.53,3.38,1.5,2.51,0.07,34.65,34.65,35
831,4.8,2,6,400.0,111.28,69.69,11.53,3.86,1.64,2.51,0.07,34.65,34.65,35
752,4.8,3,3,400.0,83.46,94.82,11.53,2.9,1.42,3.08,0.11,51.98,51.98,35
796,4.8,3,4,400.0,97.37,94.82,11.53,3.38,1.56,3.08,0.11,51.98,51.98,35
665,4.8,3,5,400.0,111.28,94.82,11.53,3.86,1.71,3.08,0.11,51.98,51.98,35
390,4.8,3,6,400.0,125.19,94.82,11.53,4.35,1.85,3.08,0.11,51.98,51.98,35
737,4.8,4,4,400.0,111.28,118.01,11.53,3.86,1.75,3.57,0.15,69.31,69.31,35
723,4.8,4,5,400.0,125.19,118.01,11.53,4.35,1.9,3.57,0.15,69.31,69.31,35
449,4.8,4,6,400.0,139.1,118.01,11.53,4.83,2.04,3.57,0.15,69.31,69.31,35
504,4.8,5,5,400.0,139.1,145.06,11.53,4.83,2.08,4.09,0.18,86.64,86.64,35
773,4.8,5,6,400.0,153.01,145.06,11.53,5.31,2.22,4.09,0.18,86.64,86.64,35
691,4.8,6,6,400.0,166.92,171.71,11.53,5.8,2.39,4.57,0.22,103.96,103.96,35
410,4.9,1,1,400.0,28.66,42.55,11.84,0.97,0.68,1.78,0.04,18.15,18.15,35
645,4.9,1,2,400.0,42.99,42.55,11.84,1.45,0.83,1.78,0.04,18.15,18.15,35
782,4.9,1,3,400.0,57.32,42.55,11.84,1.93,0.97,1.78,0.04,18.15,18.15,35
734,4.9,1,4,400.0,71.65,42.55,11.84,2.42,1.12,1.78,0.04,18.15,18.15,35
689,4.9,1,5,400.0,85.98,42.55,11.84,2.9,1.27,1.78,0.04,18.15,18.15,35
459,4.9,1,6,400.0,100.32,42.55,11.84,3.38,1.42,1.78,0.04,18.15,18.15,35
827,4.9,2,2,400.0,57.32,72.19,11.84,1.93,1.09,2.56,0.07,36.31,36.31,35
630,4.9,2,3,400.0,71.65,72.19,11.84,2.42,1.23,2.56,0.07,36.31,36.31,35
682,4.9,2,4,400.0,85.98,72.19,11.84,2.9,1.38,2.56,0.07,36.31,36.31,35
775,4.9,2,5,400.0,100.32,72.19,11.84,3.38,1.53,2.56,0.07,36.31,36.31,35
499,4.9,2,6,400.0,114.65,72.19,11.84,3.86,1.68,2.56,0.07,36.31,36.31,35
597,4.9,3,3,400.0,85.98,98.2,11.84,2.9,1.45,3.15,0.11,54.46,54.46,35
526,4.9,3,4,400.0,100.32,98.2,11.84,3.38,1.6,3.15,0.11,54.46,54.46,35
456,4.9,3,5,400.0,114.65,98.2,11.84,3.86,1.74,3.15,0.11,54.46,54.46,35
720,4.9,3,6,400.0,128.98,98.2,11.84,4.35,1.89,3.15,0.11,54.46,54.46,35
581,4.9,4,4,400.0,114.65,123.2,11.84,3.86,1.79,3.66,0.15,72.62,72.62,35
396,4.9,4,5,400.0,128.98,123.2,11.84,4.35,1.94,3.66,0.15,72.62,72.62,35
661,4.9,4,6,400.0,143.31,123.2,11.84,4.83,2.09,3.66,0.15,72.62,72.62,35
833,4.9,5,5,400.0,143.31,151.4,11.84,4.83,2.12,4.2,0.18,90.77,90.77,35
554,4.9,5,6,400.0,157.64,151.4,11.84,5.31,2.27,4.2,0.18,90.77,90.77,35
401,4.9,6,6,400.0,171.97,179.18,11.84,5.8,2.45,4.7,0.22,108.93,108.93,35
